,1. Me siento emocionalmente defraudado en mi trabajo.,2. Cuando termino mi jornada de trabajo me siento agotado              ,3. Cuando me levanto por la mañana y me enfrento a otra jornada de trabajo me siento agotado.,4. Siento que puedo entender fácilmente a las personas que tengo que atender.,"5. Siento que estoy tratando a algunos beneficiados de mí, como si fuesen objetos impersonales.",6. Siento que trabajar todo el día con la gente me cansa.,7. Siento que trato con mucha efectividad los problemas de las personas a las que tengo que atender.,8. Siento que mi trabajo me está desgastando.,9. Siento que estoy influyendo positivamente en las vidas de otras personas a través de mi trabajo.,10. Siento que me he hecho más duro con la gente.,11. Me preocupa que este trabajo me esté endureciendo emocionalmente.,12. Me siento muy animado en mi trabajo.,13. Siento frustrado por el trabajo, 14. Siento que realmente no me importa lo que les ocurra a las personas a las que tengo que atender profesionalmente., 15. Siento que trabajar en contacto directo con la gente me cansa.,16. Siento que puedo crear con facilidad un clima agradable en mi trabajo.,17. Me siento estimulado después de haber trabajado íntimamente con quienes tengo que atender.,18. Creo que consigo muchas cosas valiosas en este trabajo,19. Me siento como si estuviera al límite de mis posibilidades.,20. Siento que en mi trabajo los problemas emocionales son tratados de forma adecuada,21. Me parece que los beneficiarios de mi trabajo me culpan de algunos problemas
ID-001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ID-002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ID-003,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
ID-004,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,3,1,1,1
ID-005,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,3,1,2,1
ID-006,1,2,1,2,1,1,2,1,3,1,1,2,1,1,1,2,2,3,1,2,1
ID-007,1,2,1,2,1,1,2,2,4,1,1,2,1,1,1,2,2,3,1,2,1
ID-008,1,2,2,2,1,1,2,2,4,2,1,2,1,1,1,2,2,3,1,2,1
ID-009,1,2,2,2,1,1,2,2,4,2,1,3,1,1,1,3,3,3,1,2,1
ID-010,1,2,2,2,1,2,2,2,4,2,1,3,2,1,2,3,3,3,1,2,1
ID-011,1,2,2,2,1,2,2,2,4,2,1,3,2,1,2,3,3,3,1,3,1
ID-012,1,2,2,3,1,2,3,2,4,2,1,4,2,1,2,3,4,3,2,3,2
ID-013,1,2,2,4,1,2,3,2,4,2,2,4,2,1,2,4,4,3,2,3,2
ID-014,1,3,2,4,2,2,4,2,4,2,2,4,2,2,2,4,4,3,2,3,2
ID-015,1,3,2,4,2,3,4,2,4,2,2,4,2,2,2,4,4,4,2,3,2
ID-016,1,3,2,4,2,3,4,2,5,3,2,4,2,2,2,4,4,4,2,3,2
ID-017,2,3,3,4,2,3,4,3,5,3,2,4,3,2,2,4,4,4,2,4,2
ID-018,2,3,3,4,2,3,4,3,5,3,2,4,3,2,2,5,5,4,2,4,2
ID-019,2,3,3,5,2,3,4,3,5,3,3,5,3,2,3,5,5,4,2,4,2
ID-020,2,4,3,5,2,3,4,3,5,4,3,5,3,2,3,5,5,4,2,5,3
ID-021,2,4,3,5,2,3,4,3,5,4,3,5,3,2,3,5,5,4,3,5,3
ID-022,3,4,3,5,2,3,5,3,5,4,3,5,4,2,4,5,5,4,3,5,3
ID-023,4,4,4,5,3,4,5,4,5,4,4,5,4,2,4,5,5,5,3,5,3
ID-024,4,4,4,5,3,4,5,4,5,4,4,5,4,3,4,5,5,5,3,5,4
ID-025,4,4,4,5,3,4,5,4,5,5,4,5,4,3,4,5,5,5,3,5,4
ID-026,4,4,4,5,4,4,5,4,5,5,4,5,5,3,4,5,5,5,4,5,5
ID-027,4,4,5,5,4,5,5,4,5,5,5,5,5,4,4,5,5,5,4,5,5
ID-028,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
